DriverNumber,Driver,GridPosition,ClassifiedPosition,TyreStrategy,Status,GP,Year
22,TSU,12.0,9,"['SOFT', 'HARD', 'SOFT']",Finished,Dutch Grand Prix,2025
31,OCO,18.0,10,"['HARD', 'MEDIUM']",Finished,Dutch Grand Prix,2025
43,COL,16.0,11,"['SOFT', 'HARD', 'MEDIUM', 'SOFT']",Finished,Dutch Grand Prix,2025
30,LAW,8.0,12,"['MEDIUM', 'HARD', 'SOFT', 'SOFT']",Finished,Dutch Grand Prix,2025
55,SAI,9.0,13,"['MEDIUM', 'HARD', 'SOFT', 'SOFT', 'SOFT']",Finished,Dutch Grand Prix,2025
27,HUL,17.0,14,"['SOFT', 'HARD', 'MEDIUM']",Finished,Dutch Grand Prix,2025
5,BOR,13.0,15,"['MEDIUM', 'HARD', 'SOFT']",Finished,Dutch Grand Prix,2025
12,ANT,11.0,16,"['MEDIUM', 'HARD', 'SOFT', 'SOFT']",Finished,Dutch Grand Prix,2025
10,GAS,14.0,17,"['MEDIUM', 'HARD']",Finished,Dutch Grand Prix,2025
4,NOR,2.0,18,"['MEDIUM', 'HARD', 'HARD']",Retired,Dutch Grand Prix,2025
16,LEC,6.0,R,"['MEDIUM', 'HARD']",Retired,Dutch Grand Prix,2025
44,HAM,7.0,R,['MEDIUM'],Retired,Dutch Grand Prix,2025
1,VER,1.0,1,"['MEDIUM', 'HARD']",Finished,Italian Grand Prix,2025
4,NOR,2.0,2,"['MEDIUM', 'SOFT']",Finished,Italian Grand Prix,2025
81,PIA,3.0,3,"['MEDIUM', 'SOFT']",Finished,Italian Grand Prix,2025
16,LEC,4.0,4,"['MEDIUM', 'HARD']",Finished,Italian Grand Prix,2025
63,RUS,5.0,5,"['MEDIUM', 'HARD']",Finished,Italian Grand Prix,2025
44,HAM,10.0,6,"['MEDIUM', 'HARD']",Finished,Italian Grand Prix,2025
23,ALB,14.0,7,"['HARD', 'MEDIUM']",Finished,Italian Grand Prix,2025
5,BOR,7.0,8,"['MEDIUM', 'HARD']",Finished,Italian Grand Prix,2025
12,ANT,6.0,9,"['MEDIUM', 'HARD']",Finished,Italian Grand Prix,2025
6,HAD,19.0,10,"['HARD', 'MEDIUM']",Finished,Italian Grand Prix,2025
55,SAI,13.0,11,"['MEDIUM', 'HARD']",Finished,Italian Grand Prix,2025
87,BEA,11.0,12,"['MEDIUM', 'HARD']",Finished,Italian Grand Prix,2025
22,TSU,9.0,13,"['MEDIUM', 'HARD']",Finished,Italian Grand Prix,2025
30,LAW,18.0,14,"['SOFT', 'HARD']",Finished,Italian Grand Prix,2025
31,OCO,15.0,15,"['HARD', 'SOFT']",Lapped,Italian Grand Prix,2025
10,GAS,20.0,16,"['HARD', 'SOFT']",Lapped,Italian Grand Prix,2025
43,COL,17.0,17,"['MEDIUM', 'HARD']",Lapped,Italian Grand Prix,2025
18,STR,16.0,18,"['HARD', 'SOFT']",Lapped,Italian Grand Prix,2025
14,ALO,8.0,R,"['MEDIUM', 'HARD']",Retired,Italian Grand Prix,2025
27,HUL,12.0,W,['MEDIUM'],Did not start,Italian Grand Prix,2025
1,VER,1.0,1,"['HARD', 'MEDIUM']",Finished,Azerbaijan Grand Prix,2025
63,RUS,5.0,2,"['HARD', 'MEDIUM']",Finished,Azerbaijan Grand Prix,2025
55,SAI,2.0,3,"['MEDIUM', 'HARD']",Finished,Azerbaijan Grand Prix,2025
12,ANT,4.0,4,"['MEDIUM', 'HARD']",Finished,Azerbaijan Grand Prix,2025
30,LAW,3.0,5,"['MEDIUM', 'HARD']",Finished,Azerbaijan Grand Prix,2025
22,TSU,6.0,6,"['HARD', 'MEDIUM']",Finished,Azerbaijan Grand Prix,2025
4,NOR,7.0,7,"['MEDIUM', 'HARD']",Finished,Azerbaijan Grand Prix,2025
44,HAM,12.0,8,"['HARD', 'MEDIUM']",Finished,Azerbaijan Grand Prix,2025
16,LEC,10.0,9,"['MEDIUM', 'HARD']",Finished,Azerbaijan Grand Prix,2025
6,HAD,8.0,10,"['MEDIUM', 'HARD']",Finished,Azerbaijan Grand Prix,2025
5,BOR,13.0,11,"['HARD', 'MEDIUM']",Finished,Azerbaijan Grand Prix,2025
87,BEA,15.0,12,"['HARD', 'MEDIUM']",Finished,Azerbaijan Grand Prix,2025
23,ALB,19.0,13,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Azerbaijan Grand Prix,2025
31,OCO,20.0,14,"['HARD', 'MEDIUM', 'HARD']",Finished,Azerbaijan Grand Prix,2025
14,ALO,11.0,15,"['MEDIUM', 'HARD']",Finished,Azerbaijan Grand Prix,2025
27,HUL,17.0,16,"['HARD', 'MEDIUM']",Finished,Azerbaijan Grand Prix,2025
18,STR,14.0,17,"['MEDIUM', 'HARD']",Finished,Azerbaijan Grand Prix,2025
10,GAS,18.0,18,"['HARD', 'MEDIUM']",Lapped,Azerbaijan Grand Prix,2025
43,COL,16.0,19,"['MEDIUM', 'HARD']",Lapped,Azerbaijan Grand Prix,2025
81,PIA,9.0,R,['MEDIUM'],Retired,Azerbaijan Grand Prix,2025
63,RUS,1.0,1,"['MEDIUM', 'HARD']",Finished,Singapore Grand Prix,2025
1,VER,2.0,2,"['SOFT', 'HARD']",Finished,Singapore Grand Prix,2025
4,NOR,5.0,3,"['MEDIUM', 'HARD']",Finished,Singapore Grand Prix,2025
81,PIA,3.0,4,"['MEDIUM', 'HARD']",Finished,Singapore Grand Prix,2025
12,ANT,4.0,5,"['MEDIUM', 'HARD']",Finished,Singapore Grand Prix,2025
16,LEC,7.0,6,"['MEDIUM', 'HARD']",Finished,Singapore Grand Prix,2025
14,ALO,10.0,7,"['SOFT', 'MEDIUM']",Finished,Singapore Grand Prix,2025
44,HAM,6.0,8,"['MEDIUM', 'HARD', 'SOFT']",Finished,Singapore Grand Prix,2025
87,BEA,9.0,9,"['MEDIUM', 'HARD']",Finished,Singapore Grand Prix,2025
55,SAI,18.0,10,"['MEDIUM', 'SOFT']",Lapped,Singapore Grand Prix,2025
6,HAD,8.0,11,"['SOFT', 'HARD']",Lapped,Singapore Grand Prix,2025
22,TSU,13.0,12,"['SOFT', 'HARD']",Lapped,Singapore Grand Prix,2025
18,STR,15.0,13,"['SOFT', 'MEDIUM']",Lapped,Singapore Grand Prix,2025
23,ALB,20.0,14,"['MEDIUM', 'SOFT']",Lapped,Singapore Grand Prix,2025
30,LAW,12.0,15,"['MEDIUM', 'SOFT']",Lapped,Singapore Grand Prix,2025
43,COL,16.0,16,"['SOFT', 'MEDIUM']",Lapped,Singapore Grand Prix,2025
5,BOR,14.0,17,"['MEDIUM', 'HARD']",Lapped,Singapore Grand Prix,2025
31,OCO,17.0,18,"['MEDIUM', 'HARD']",Lapped,Singapore Grand Prix,2025
10,GAS,19.0,19,"['MEDIUM', 'HARD', 'SOFT']",Lapped,Singapore Grand Prix,2025
27,HUL,11.0,20,"['MEDIUM', 'HARD', 'SOFT']",Lapped,Singapore Grand Prix,2025
1,VER,1.0,1,"['MEDIUM', 'SOFT']",Finished,United States Grand Prix,2025
4,NOR,2.0,2,"['MEDIUM', 'SOFT']",Finished,United States Grand Prix,2025
16,LEC,3.0,3,"['SOFT', 'MEDIUM']",Finished,United States Grand Prix,2025
44,HAM,5.0,4,"['MEDIUM', 'SOFT']",Finished,United States Grand Prix,2025
81,PIA,6.0,5,"['MEDIUM', 'SOFT']",Finished,United States Grand Prix,2025
63,RUS,4.0,6,"['MEDIUM', 'SOFT']",Finished,United States Grand Prix,2025
22,TSU,13.0,7,"['MEDIUM', 'SOFT']",Finished,United States Grand Prix,2025
27,HUL,11.0,8,"['MEDIUM', 'SOFT']",Finished,United States Grand Prix,2025
87,BEA,8.0,9,"['MEDIUM', 'SOFT']",Finished,United States Grand Prix,2025
14,ALO,10.0,10,"['MEDIUM', 'SOFT']",Finished,United States Grand Prix,2025
30,LAW,12.0,11,"['MEDIUM', 'SOFT']",Finished,United States Grand Prix,2025
18,STR,19.0,12,"['SOFT', 'MEDIUM']",Finished,United States Grand Prix,2025
12,ANT,7.0,13,"['MEDIUM', 'SOFT']",Finished,United States Grand Prix,2025
23,ALB,18.0,14,"['HARD', 'MEDIUM', 'SOFT']",Finished,United States Grand Prix,2025
31,OCO,17.0,15,"['HARD', 'MEDIUM']",Finished,United States Grand Prix,2025
6,HAD,20.0,16,"['HARD', 'SOFT']",Finished,United States Grand Prix,2025
43,COL,15.0,17,"['MEDIUM', 'SOFT']",Lapped,United States Grand Prix,2025
5,BOR,16.0,18,"['SOFT', 'MEDIUM', 'SOFT']",Lapped,United States Grand Prix,2025
10,GAS,14.0,19,"['MEDIUM', 'SOFT']",Lapped,United States Grand Prix,2025
55,SAI,9.0,R,['MEDIUM'],Retired,United States Grand Prix,2025
4,NOR,1.0,1,"['SOFT', 'MEDIUM']",Finished,Mexico City Grand Prix,2025
16,LEC,2.0,2,"['SOFT', 'MEDIUM']",Finished,Mexico City Grand Prix,2025
1,VER,5.0,3,"['MEDIUM', 'SOFT']",Finished,Mexico City Grand Prix,2025
87,BEA,9.0,4,"['SOFT', 'MEDIUM', 'SOFT']",Finished,Mexico City Grand Prix,2025
81,PIA,7.0,5,"['SOFT', 'MEDIUM', 'SOFT']",Finished,Mexico City Grand Prix,2025
12,ANT,6.0,6,"['SOFT', 'MEDIUM', 'SOFT']",Finished,Mexico City Grand Prix,2025
63,RUS,4.0,7,"['SOFT', 'MEDIUM', 'SOFT']",Finished,Mexico City Grand Prix,2025
44,HAM,3.0,8,"['SOFT', 'MEDIUM', 'SOFT']",Finished,Mexico City Grand Prix,2025
31,OCO,11.0,9,"['SOFT', 'MEDIUM']",Finished,Mexico City Grand Prix,2025
5,BOR,16.0,10,"['MEDIUM', 'SOFT']",Finished,Mexico City Grand Prix,2025
22,TSU,10.0,11,"['MEDIUM', 'SOFT']",Finished,Mexico City Grand Prix,2025
23,ALB,17.0,12,"['HARD', 'SOFT']",Lapped,Mexico City Grand Prix,2025
6,HAD,8.0,13,"['MEDIUM', 'SOFT']",Lapped,Mexico City Grand Prix,2025
18,STR,19.0,14,"['SOFT', 'MEDIUM', 'SOFT']",Lapped,Mexico City Grand Prix,2025
10,GAS,18.0,15,"['MEDIUM', 'SOFT']",Lapped,Mexico City Grand Prix,2025
43,COL,20.0,16,"['HARD', 'SOFT']",Lapped,Mexico City Grand Prix,2025
55,SAI,12.0,17,"['MEDIUM', 'SOFT', 'SOFT', 'SOFT']",Retired,Mexico City Grand Prix,2025
14,ALO,14.0,R,"['SOFT', 'MEDIUM']",Retired,Mexico City Grand Prix,2025
27,HUL,13.0,R,['SOFT'],Retired,Mexico City Grand Prix,2025
30,LAW,15.0,R,"['SOFT', 'HARD']",Retired,Mexico City Grand Prix,2025
4,NOR,1.0,1,"['MEDIUM', 'SOFT', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
12,ANT,2.0,2,"['SOFT', 'MEDIUM', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
1,VER,19.0,3,"['HARD', 'MEDIUM', 'MEDIUM', 'SOFT']",Finished,São Paulo Grand Prix,2025
63,RUS,6.0,4,"['MEDIUM', 'SOFT', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
81,PIA,4.0,5,"['MEDIUM', 'SOFT', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
87,BEA,8.0,6,"['SOFT', 'MEDIUM', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
30,LAW,7.0,7,"['SOFT', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
6,HAD,5.0,8,"['SOFT', 'MEDIUM', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
27,HUL,10.0,9,"['MEDIUM', 'SOFT']",Finished,São Paulo Grand Prix,2025
10,GAS,9.0,10,"['SOFT', 'MEDIUM', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
23,ALB,12.0,11,"['MEDIUM', 'SOFT', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
31,OCO,20.0,12,"['HARD', 'MEDIUM', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
55,SAI,15.0,13,"['SOFT', 'MEDIUM', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
14,ALO,11.0,14,"['HARD', 'MEDIUM', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
43,COL,16.0,15,"['MEDIUM', 'SOFT', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
18,STR,14.0,16,"['HARD', 'MEDIUM', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
22,TSU,17.0,17,"['HARD', 'MEDIUM', 'MEDIUM', 'MEDIUM']",Finished,São Paulo Grand Prix,2025
44,HAM,13.0,R,"['SOFT', 'HARD', 'MEDIUM', 'MEDIUM']",Retired,São Paulo Grand Prix,2025
16,LEC,3.0,R,['MEDIUM'],Retired,São Paulo Grand Prix,2025
5,BOR,18.0,R,['SOFT'],Retired,São Paulo Grand Prix,2025
1,VER,2.0,1,"['MEDIUM', 'HARD']",Finished,Las Vegas Grand Prix,2025
63,RUS,4.0,2,"['MEDIUM', 'HARD']",Finished,Las Vegas Grand Prix,2025
12,ANT,17.0,3,"['SOFT', 'HARD']",Finished,Las Vegas Grand Prix,2025
16,LEC,9.0,4,"['MEDIUM', 'HARD']",Finished,Las Vegas Grand Prix,2025
55,SAI,3.0,5,"['MEDIUM', 'HARD']",Finished,Las Vegas Grand Prix,2025
6,HAD,8.0,6,"['MEDIUM', 'HARD']",Finished,Las Vegas Grand Prix,2025
27,HUL,11.0,7,"['HARD', 'MEDIUM']",Finished,Las Vegas Grand Prix,2025
44,HAM,19.0,8,"['HARD', 'MEDIUM']",Finished,Las Vegas Grand Prix,2025
31,OCO,13.0,9,"['MEDIUM', 'HARD']",Finished,Las Vegas Grand Prix,2025
87,BEA,14.0,10,"['MEDIUM', 'HARD']",Finished,Las Vegas Grand Prix,2025
14,ALO,7.0,11,"['MEDIUM', 'HARD']",Finished,Las Vegas Grand Prix,2025
22,TSU,20.0,12,"['MEDIUM', 'HARD', 'MEDIUM']",Finished,Las Vegas Grand Prix,2025
10,GAS,10.0,13,"['MEDIUM', 'HARD']",Finished,Las Vegas Grand Prix,2025
30,LAW,6.0,14,"['MEDIUM', 'HARD', 'HARD']",Lapped,Las Vegas Grand Prix,2025
43,COL,15.0,15,"['HARD', 'MEDIUM']",Lapped,Las Vegas Grand Prix,2025
23,ALB,16.0,R,"['HARD', 'MEDIUM', 'HARD', 'MEDIUM']",Retired,Las Vegas Grand Prix,2025
5,BOR,18.0,R,"['HARD', 'MEDIUM']",Retired,Las Vegas Grand Prix,2025
18,STR,12.0,R,['MEDIUM'],Retired,Las Vegas Grand Prix,2025
4,NOR,1.0,D,"['MEDIUM', 'HARD']",Disqualified,Las Vegas Grand Prix,2025
81,PIA,5.0,D,"['MEDIUM', 'HARD']",Disqualified,Las Vegas Grand Prix,2025
1,VER,3.0,1,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Qatar Grand Prix,2025
81,PIA,1.0,2,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Qatar Grand Prix,2025
55,SAI,7.0,3,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Qatar Grand Prix,2025
4,NOR,2.0,4,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Qatar Grand Prix,2025
12,ANT,5.0,5,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Qatar Grand Prix,2025
63,RUS,4.0,6,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Qatar Grand Prix,2025
14,ALO,8.0,7,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Qatar Grand Prix,2025
16,LEC,10.0,8,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Qatar Grand Prix,2025
30,LAW,12.0,9,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Qatar Grand Prix,2025
22,TSU,15.0,10,"['MEDIUM', 'MEDIUM', 'HARD']",Finished,Qatar Grand Prix,2025
23,ALB,14.0,11,"['HARD', 'MEDIUM', 'MEDIUM']",Finished,Qatar Grand Prix,2025
44,HAM,17.0,12,"['SOFT', 'MEDIUM', 'MEDIUM']",Finished,Qatar Grand Prix,2025
5,BOR,19.0,13,"['MEDIUM', 'MEDIUM', 'SOFT']",Finished,Qatar Grand Prix,2025
43,COL,20.0,14,"['HARD', 'MEDIUM', 'MEDIUM']",Lapped,Qatar Grand Prix,2025
31,OCO,16.0,15,"['MEDIUM', 'HARD', 'MEDIUM', 'HARD']",Lapped,Qatar Grand Prix,2025
10,GAS,9.0,16,"['MEDIUM', 'HARD', 'MEDIUM']",Lapped,Qatar Grand Prix,2025
18,STR,18.0,17,"['MEDIUM', 'MEDIUM', 'MEDIUM', 'SOFT']",Retired,Qatar Grand Prix,2025
6,HAD,6.0,18,"['MEDIUM', 'MEDIUM', 'HARD']",Retired,Qatar Grand Prix,2025
87,BEA,13.0,R,"['MEDIUM', 'MEDIUM', 'HARD', 'HARD']",Retired,Qatar Grand Prix,2025
27,HUL,11.0,R,['SOFT'],Retired,Qatar Grand Prix,2025
